Fecha_Hora,ton_total,n_descargas,n_cam,n_shov,ton_chancador,ton_botadero,descargas_botadero,ton_chancador_1,ton_chancador_2,cam_chancador,cam_botadero,ton_alta_ley,ton_media_ley,ton_baja_ley,ton_lastre,n_perfo,n_eq_apoyo,n_aljibe
2020-01-07 03:00:00,21582.7105,69.0,48.0,7.0,8210.0,13372.7105,44.0,4527.0,3683.0,21.0,30.0,0.0,10370.4842,0.0,11212.2263,,,
2020-01-07 04:00:00,18949.0,62.0,42.0,7.0,8635.0,10314.0,34.0,7087.0,1548.0,23.0,21.0,0.0,11408.0,0.0,7541.0,,,
2020-01-07 05:00:00,11218.7421,37.0,29.0,7.0,1824.0,9394.7421,31.0,1824.0,0.0,6.0,23.0,0.0,3698.0,0.0,7520.7421,,,
2020-01-07 06:00:00,15392.0,51.0,42.0,7.0,0.0,15392.0,51.0,0.0,0.0,0.0,42.0,0.0,6269.0,0.0,9123.0,,,
2020-01-07 07:00:00,24718.9684,80.0,46.0,7.0,0.0,24718.9684,80.0,0.0,0.0,0.0,46.0,0.0,7123.0,0.0,17595.9684,,,
2020-01-07 08:00:00,16464.0,54.0,39.0,6.0,0.0,16464.0,54.0,0.0,0.0,0.0,39.0,0.0,5718.0,0.0,10746.0,,,
2020-01-07 09:00:00,11597.7421,53.0,44.0,6.0,0.0,11597.7421,53.0,0.0,0.0,0.0,44.0,0.0,4281.0,0.0,7316.7421,,,
2020-01-07 10:00:00,21255.9684,70.0,43.0,6.0,0.0,21255.9684,70.0,0.0,0.0,0.0,43.0,0.0,5876.7421,0.0,15379.2263,,,
2020-01-07 11:00:00,22579.9684,74.0,45.0,6.0,0.0,22579.9684,74.0,0.0,0.0,0.0,45.0,0.0,6537.0,0.0,16042.9684,,,
2020-01-07 12:00:00,17196.7105,57.0,43.0,7.0,0.0,17196.7105,57.0,0.0,0.0,0.0,43.0,0.0,3936.0,0.0,13260.7105,,,
2020-01-07 13:00:00,20844.7421,69.0,45.0,7.0,0.0,20844.7421,69.0,0.0,0.0,0.0,45.0,0.0,4028.0,0.0,16816.7421,,,
2020-01-07 14:00:00,12439.7421,40.0,32.0,7.0,0.0,12439.7421,40.0,0.0,0.0,0.0,32.0,0.0,4053.0,0.0,8386.7421,,,
2020-01-07 15:00:00,4469.7421,15.0,14.0,5.0,0.0,4469.7421,15.0,0.0,0.0,0.0,14.0,0.0,326.0,0.0,4143.7421,,,
2020-01-07 16:00:00,14437.7421,48.0,35.0,6.0,0.0,14437.7421,48.0,0.0,0.0,0.0,35.0,0.0,3737.0,0.0,10700.7421,,,
2020-01-07 17:00:00,17214.7421,56.0,43.0,6.0,0.0,17214.7421,56.0,0.0,0.0,0.0,43.0,0.0,4635.0,0.0,12579.7421,,,
2020-01-07 18:00:00,20372.7421,65.0,46.0,7.0,0.0,20372.7421,65.0,0.0,0.0,0.0,46.0,0.0,6278.7421,0.0,14094.0,,,
2020-01-07 19:00:00,20224.0,65.0,43.0,7.0,0.0,20224.0,65.0,0.0,0.0,0.0,43.0,0.0,5326.0,0.0,14898.0,,,
2020-01-07 20:00:00,12698.0,42.0,41.0,7.0,0.0,12698.0,42.0,0.0,0.0,0.0,41.0,0.0,3964.0,0.0,8734.0,,,
2020-01-07 21:00:00,9650.7421,50.0,45.0,7.0,3581.0,6069.7421,34.0,1462.0,2119.0,12.0,35.0,0.0,3581.0,0.0,6069.7421,,,
